"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","W","Women","TOTAL","Total","2005","2005",5351044,,
"BEL","Belgium","W","Women","TOTAL","Total","2006","2006",5385342,,
"BEL","Belgium","W","Women","TOTAL","Total","2007","2007",5422842,,
"BEL","Belgium","W","Women","TOTAL","Total","2008","2008",5463494,,
"BEL","Belgium","W","Women","TOTAL","Total","2009","2009",5506058,,
"BEL","Belgium","W","Women","TOTAL","Total","2010","2010",5554363,,
"BEL","Belgium","W","Women","TOTAL","Total","2011","2011",5601593,,
"BEL","Belgium","W","Women","TOTAL","Total","2012","2012",5637105,,
"BEL","Belgium","W","Women","TOTAL","Total","2013","2013",5664133,,
"BEL","Belgium","W","Women","TOTAL","Total","2014","2014",5690077,,
"BEL","Belgium","W","Women","TOTAL","Total","2015","2015",5717162,,
"BEL","Belgium","W","Women","TOTAL","Total","2016","2016",5742234,,
"BEL","Belgium","W","Women","TOTAL","Total","2017","2017",5766124,,
"BEL","Belgium","W","Women","TOTAL","Total","2018","2018",5790674,,
"BEL","Belgium","M","Men","TOTAL","Total","2005","2005",5127573,,
"BEL","Belgium","M","Men","TOTAL","Total","2006","2006",5162614,,
"BEL","Belgium","M","Men","TOTAL","Total","2007","2007",5202859,,
"BEL","Belgium","M","Men","TOTAL","Total","2008","2008",5246482,,
"BEL","Belgium","M","Men","TOTAL","Total","2009","2009",5290440,,
"BEL","Belgium","M","Men","TOTAL","Total","2010","2010",5341226,,
"BEL","Belgium","M","Men","TOTAL","Total","2011","2011",5392023,,
"BEL","Belgium","M","Men","TOTAL","Total","2012","2012",5430643,,
"BEL","Belgium","M","Men","TOTAL","Total","2013","2013",5460900,,
"BEL","Belgium","M","Men","TOTAL","Total","2014","2014",5489701,,
"BEL","Belgium","M","Men","TOTAL","Total","2015","2015",5521312,,
"BEL","Belgium","M","Men","TOTAL","Total","2016","2016",5552769,,
"BEL","Belgium","M","Men","TOTAL","Total","2017","2017",5582957,,
"BEL","Belgium","M","Men","TOTAL","Total","2018","2018",5613066,,
"BEL","Belgium","T","Total","TOTAL","Total","2005","2005",10478617,,
"BEL","Belgium","T","Total","TOTAL","Total","2006","2006",10547956,,
"BEL","Belgium","T","Total","TOTAL","Total","2007","2007",10625701,,
"BEL","Belgium","T","Total","TOTAL","Total","2008","2008",10709976,,
"BEL","Belgium","T","Total","TOTAL","Total","2009","2009",10796498,,
"BEL","Belgium","T","Total","TOTAL","Total","2010","2010",10895589,,
"BEL","Belgium","T","Total","TOTAL","Total","2011","2011",10993616,,
