"LOCATION","Country","VARIABLE","Variable","EDITION","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2005","2005","PC","Percentage","0","Units","2015","2015",0.793123981792384,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2006","2006","PC","Percentage","0","Units","2015","2015",0.46764707686878,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2007","2007","PC","Percentage","0","Units","2015","2015",0.364057800122918,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2008","2008","PC","Percentage","0","Units","2015","2015",0.0503095370790869,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2009","2009","PC","Percentage","0","Units","2015","2015",-0.615720899111489,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2010","2010","PC","Percentage","0","Units","2015","2015",0.504098144580657,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2011","2011","PC","Percentage","0","Units","2015","2015",0.654159563446876,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2012","2012","PC","Percentage","0","Units","2015","2015",-0.590485989054862,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2013","2013","PC","Percentage","0","Units","2015","2015",-0.375543272755058,,
"BEL","Belgium","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_2","EO107_2 Double-hit scenario","A","Annual","2014","2014","PC","Percentage","0","Units","2015","2015",0.0383930472857874,,
