"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2005","2005",72.536,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2006","2006",79.615,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2007","2007",85.819,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2008","2008",89.605,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2009","2009",89.183,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2010","2010",91.978,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2011","2011",95.676,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2012","2012",97.814,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2013","2013",98.962,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2014","2014",98.417,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2015","2015",100,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2016","2016",102.641,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2017","2017",106.373,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2018","2018",109.415,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2019","2019",113.779,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2005","2005",84.746,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2006","2006",94.624,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2007","2007",100.725,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2008","2008",101.625,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2009","2009",95.374,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2010","2010",99.925,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2011","2011",105.726,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","IXOB","Index publication base","A","Annual","2012","2012",105.176,,
