"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,9.62165615526181,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,10.145251590744,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,17.1921036917382,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,8.9306645959638,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-21.1804603443431,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,9.90555850590877,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,16.9213648302358,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-6.20285065505713,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.01383634422633,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.454435482695342,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-15.8749588015222,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.301034532262852,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.56323523338111,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,8.65340076744399,,
"XTEXVA01","Exports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-4.6021170693673,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,12.2607155510073,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,10.6211269941302,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,17.194416858631,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,12.2017728400867,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-23.4933026654471,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,10.344816129413,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,19.4148569713613,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-5.91017467515682,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.71025720081793,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.141586615009934,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-16.9644278074258,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.14290978307085,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.20728112426568,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,10.7721470605618,,
"XTIMVA01","Imports in goods, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-6.0545761835953,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.32213243711126,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.55159681463723,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.67708305344334,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,0.447318293141204,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-2.0209969012929,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.86453121543761,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.69445966218325,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.739090485720415,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.459292170292943,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.57853235792337,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.04131108199774,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.26685561109765,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.60813308687614,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.81241049896682,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.74372389969235,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.44389438943894,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.77524739053816,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.09217950015717,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.37559621345747,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.583747722148433,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,3.0092734754038,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.865478248772832,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.46785014136678,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.66894824221594,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.551481120724223,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.58506298939651,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.57014710488059,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.88643643459371,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.87183529294856,,
"NAEXKP02","GDP Private final consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.45656251247057,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.362900014789022,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2006","2006","PC","Percentage","0","Units",,,0.744712203305302,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.92621429133991,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.09964566016492,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.57924603047142,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.372072432911022,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.485156520734656,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.18508919520531,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.138396868512645,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.20981466010705,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.279221440945687,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.46542823462461,,
"NAEXKP03","GDP Government consumption expenditure; constant prices, s.a.","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.150715138273556,,
