"INDICATOR","Indicator","FAM_TYPE","Family type","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,61243.409,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,62915.58,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,64560.53,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,67965.66,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,70388.83,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,72516.41,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,74542.12,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,76629.62,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,77148.99,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,77573.17,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,77619.93,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,77701.76,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,79370.09,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,81237.15,,
"01","Total gross earnings before taxes","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,82773.645827,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,12543.48042,,
"02","Standard tax allowances","MARRIED2","Two-earner married couple, one at 100% of average earnings and the other at 67%, 2 children","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,12992.221717,,
